State,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alabama,46000.0,42000.0,41000.0,29000.0,23000.0,25000.0,19000.0,18000.0,16000.0,15000.0,14000.0,16000.0,17000.0,16000.0,14000.0,12000.0,13000.0,12000.0,13000.0,11000.0,11000.0,9000.0,9000.0,9000.0,9000.0,8000.0,7000.0,7000.0,7600.0,7500.0,7000.0,7500.0
Arizona,80000.0,80000.0,78000.0,67000.0,75000.0,70000.0,55000.0,53000.0,52000.0,32000.0,42000.0,55000.0,52000.0,40000.0,43000.0,38000.0,35000.0,32000.0,36000.0,30000.0,30000.0,25000.0,20000.0,24000.0,23000.0,22000.0,29000.0,26000.0,34000.0,27600.0,25600.0,21750.0
Arkansas,29000.0,34000.0,34000.0,42000.0,47000.0,45000.0,50000.0,55000.0,55000.0,50000.0,50000.0,53000.0,52000.0,52000.0,50000.0,45000.0,40000.0,40000.0,36000.0,32000.0,28000.0,28000.0,24000.0,25000.0,22000.0,25000.0,22000.0,21000.0,19300.0,27000.0,23600.0,16750.0
California,540000.0,600000.0,620000.0,480000.0,550000.0,490000.0,500000.0,400000.0,420000.0,390000.0,420000.0,450000.0,465000.0,440000.0,460000.0,470000.0,480000.0,390000.0,400000.0,380000.0,340000.0,360000.0,355000.0,410000.0,370000.0,330000.0,330000.0,320000.0,847000.0,812000.0,751000.0,1145000.0
Colorado,44000.0,48000.0,50000.0,55000.0,50000.0,52000.0,53000.0,45000.0,45000.0,30000.0,35000.0,27000.0,27000.0,29000.0,26000.0,24000.0,24000.0,23000.0,28000.0,36000.0,31000.0,27000.0,28000.0,34000.0,31000.0,25000.0,26000.0,27000.0,19500.0,21900.0,25600.0,14750.0
Connecticut,2000.0,2000.0,2000.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,3450.0,2850.0,3400.0,3250.0
Delaware,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,240000.0,240000.0,250000.0,220000.0,225000.0,220000.0,200000.0,230000.0,230000.0,240000.0,240000.0,230000.0,228000.0,232000.0,220000.0,220000.0,210000.0,205000.0,160000.0,170000.0,160000.0,150000.0,170000.0,200000.0,180000.0,193000.0,220000.0,245000.0,223800.0,237000.0,213200.0,257500.0
Georgia,120000.0,115000.0,116000.0,111000.0,102000.0,85000.0,80000.0,80000.0,70000.0,75000.0,75000.0,75000.0,65000.0,55000.0,55000.0,50000.0,52000.0,63000.0,59000.0,63000.0,60000.0,65000.0,65000.0,55000.0,65000.0,59000.0,67000.0,73000.0,101000.0,100400.0,119600.0,134000.0
Hawaii,9000.0,9000.0,9000.0,10000.0,10000.0,9000.0,9000.0,9000.0,8000.0,8000.0,9000.0,8000.0,8000.0,7000.0,8000.0,7000.0,7000.0,8000.0,9000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9000.0,10000.0,13000.0,15000.0,13100.0,14300.0,13400.0,14750.0
Idaho,120000.0,127000.0,140000.0,140000.0,140000.0,135000.0,133000.0,127000.0,125000.0,110000.0,120000.0,120000.0,120000.0,100000.0,100000.0,100000.0,100000.0,100000.0,95000.0,95000.0,92000.0,90000.0,103000.0,97000.0,87000.0,92000.0,83000.0,100000.0,86600.0,89600.0,90600.0,112000.0
Illinois,28000.0,28000.0,29000.0,23000.0,21000.0,16000.0,15000.0,13000.0,11000.0,11000.0,7000.0,9000.0,9000.0,8000.0,6000.0,9000.0,7000.0,7000.0,8000.0,10000.0,9000.0,8000.0,8000.0,9000.0,7000.0,7000.0,7000.0,8000.0,10300.0,9500.0,12000.0,10250.0
Indiana,25000.0,29000.0,28000.0,22000.0,21000.0,15000.0,12000.0,13000.0,12000.0,9000.0,8000.0,9000.0,10000.0,8000.0,7000.0,8000.0,5000.0,7000.0,8000.0,7000.0,8000.0,7000.0,9000.0,10000.0,8000.0,8000.0,6000.0,5000.0,9900.0,6960.0,9200.0,7500.0
Iowa,44000.0,49000.0,67000.0,70000.0,70000.0,65000.0,56000.0,52000.0,45000.0,52000.0,45000.0,50000.0,40000.0,30000.0,33000.0,33000.0,32000.0,35000.0,28000.0,26000.0,26000.0,24000.0,26000.0,27000.0,25000.0,37000.0,39000.0,35000.0,25000.0,32900.0,28400.0,43000.0
Kansas,46000.0,42000.0,37000.0,36000.0,35000.0,28000.0,23000.0,19000.0,17000.0,16000.0,17000.0,16000.0,13000.0,15000.0,13000.0,17000.0,16000.0,14000.0,16000.0,14000.0,14000.0,10000.0,9000.0,9000.0,7000.0,6000.0,6000.0,7000.0,7220.0,5940.0,5620.0,3800.0
Kentucky,14000.0,12000.0,12000.0,8000.0,7000.0,4000.0,4000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,4000.0,4000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4000.0,4000.0,5000.0,5000.0,4000.0,5000.0,3000.0,5000.0,7700.0,6400.0,7000.0,5150.0
Louisiana,35000.0,38000.0,35000.0,38000.0,40000.0,45000.0,47000.0,40000.0,38000.0,44000.0,44000.0,41000.0,48000.0,43000.0,45000.0,35000.0,34000.0,35000.0,35000.0,30000.0,29000.0,40000.0,37000.0,36000.0,36000.0,41000.0,50000.0,48000.0,48800.0,51000.0,53000.0,49000.0
Maine,9000.0,14000.0,17000.0,20000.0,13000.0,15000.0,13000.0,8000.0,11000.0,9000.0,8000.0,10000.0,14000.0,11000.0,11000.0,11000.0,8000.0,7000.0,8000.0,11000.0,9000.0,7000.0,6000.0,5000.0,4000.0,4000.0,7000.0,8000.0,5680.0,5360.0,5580.0,2050.0
Maryland,7000.0,7000.0,9000.0,7000.0,7000.0,6000.0,7000.0,7000.0,7000.0,7000.0,6000.0,7000.0,6000.0,6000.0,4000.0,3000.0,2000.0,,,,,,,,,,,,7500.0,7500.0,8375.0,7500.0
Massachusetts,11000.0,15000.0,8000.0,15000.0,,,,,,,,,,,,,,,,,,,,,,,,,4750.0,6175.0,5200.0,3700.0
Michigan,93000.0,95000.0,102000.0,100000.0,105000.0,95000.0,90000.0,90000.0,97000.0,90000.0,85000.0,80000.0,73000.0,72000.0,76000.0,72000.0,65000.0,65000.0,65000.0,72000.0,72000.0,71000.0,66000.0,71000.0,74000.0,73000.0,85000.0,91000.0,64100.0,72600.0,72400.0,26250.0
Minnesota,160000.0,160000.0,165000.0,170000.0,180000.0,190000.0,180000.0,170000.0,165000.0,150000.0,145000.0,140000.0,145000.0,150000.0,135000.0,117000.0,120000.0,135000.0,120000.0,125000.0,130000.0,122000.0,122000.0,128000.0,120000.0,125000.0,130000.0,132000.0,91600.0,86400.0,83800.0,54000.0
Mississippi,19000.0,21000.0,24000.0,24000.0,28000.0,25000.0,17000.0,19000.0,16000.0,17000.0,19000.0,18000.0,18000.0,17000.0,17000.0,18000.0,21000.0,18000.0,16000.0,14000.0,15000.0,14000.0,14000.0,16000.0,18000.0,18000.0,17000.0,20000.0,38400.0,32300.0,34200.0,36000.0
Missouri,30000.0,30000.0,33000.0,30000.0,28000.0,25000.0,24000.0,25000.0,23000.0,22000.0,24000.0,23000.0,24000.0,23000.0,22000.0,18000.0,17000.0,16000.0,15000.0,15000.0,14000.0,11000.0,11000.0,11000.0,8000.0,7000.0,10000.0,12000.0,12200.0,10500.0,8000.0,7500.0
Montana,95000.0,105000.0,100000.0,98000.0,86000.0,87000.0,95000.0,119000.0,106000.0,117000.0,107000.0,115000.0,122000.0,124000.0,136000.0,134000.0,145000.0,140000.0,130000.0,132000.0,135000.0,134000.0,146000.0,157000.0,145000.0,145000.0,159000.0,162000.0,89300.0,101700.0,95900.0,42500.0
Nebraska,110000.0,113000.0,119000.0,118000.0,108000.0,96000.0,83000.0,72000.0,60000.0,65000.0,61000.0,64000.0,58000.0,50000.0,43000.0,43000.0,45000.0,51000.0,40000.0,47000.0,45000.0,36000.0,48000.0,41000.0,41000.0,43000.0,46000.0,50000.0,47000.0,32100.0,29000.0,8500.0
Nevada,11000.0,9000.0,15000.0,17000.0,15000.0,15000.0,14000.0,14000.0,10000.0,14000.0,14000.0,10000.0,9000.0,10000.0,9000.0,9000.0,6000.0,14000.0,12000.0,9000.0,10000.0,10000.0,,,,,,,,,,
New Hampshire,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,25000.0,30000.0,25000.0,15000.0,11000.0,8000.0,11000.0,11000.0,10000.0,7000.0,10000.0,11000.0,10000.0,11000.0,11000.0,11000.0,10000.0,12000.0,12000.0,9000.0,9000.0,9000.0,11000.0,13000.0,11000.0,14000.0,11000.0,12000.0,10600.0,10440.0,11200.0,5450.0
New Mexico,19000.0,21000.0,23000.0,29000.0,20000.0,18000.0,18000.0,19000.0,19000.0,15000.0,15000.0,14000.0,15000.0,15000.0,10000.0,11000.0,6000.0,8000.0,7000.0,7000.0,6000.0,6000.0,7000.0,7000.0,7000.0,5000.0,,,6500.0,6500.0,7250.0,4700.0
New York,90000.0,94000.0,94000.0,81000.0,77000.0,70000.0,65000.0,68000.0,70000.0,68000.0,72000.0,65000.0,69000.0,58000.0,53000.0,60000.0,67000.0,64000.0,59000.0,58000.0,53000.0,50000.0,45000.0,45000.0,49000.0,51000.0,55000.0,60000.0,39600.0,46000.0,44800.0,23000.0
North Carolina,20000.0,21000.0,25000.0,20000.0,18000.0,15000.0,15000.0,15000.0,12000.0,12000.0,8000.0,8000.0,9000.0,11000.0,13000.0,16000.0,10000.0,9000.0,10000.0,10000.0,12000.0,12000.0,11000.0,13000.0,14000.0,13000.0,10000.0,12000.0,20300.0,20700.0,20000.0,17250.0
North Dakota,300000.0,250000.0,310000.0,220000.0,215000.0,240000.0,220000.0,235000.0,220000.0,230000.0,245000.0,230000.0,255000.0,300000.0,280000.0,320000.0,340000.0,390000.0,370000.0,350000.0,420000.0,400000.0,450000.0,510000.0,460000.0,480000.0,480000.0,490000.0,271600.0,315800.0,300000.0,68000.0
Ohio,55000.0,50000.0,53000.0,42000.0,48000.0,38000.0,30000.0,27000.0,25000.0,24000.0,22000.0,18000.0,20000.0,18000.0,18000.0,18000.0,15000.0,16000.0,15000.0,14000.0,14000.0,14000.0,11000.0,18000.0,15000.0,18000.0,17000.0,15000.0,18900.0,17200.0,17100.0,11500.0
Oklahoma,10000.0,10000.0,9000.0,9000.0,9000.0,9000.0,6000.0,5000.0,4000.0,4000.0,4000.0,4000.0,6000.0,7000.0,4000.0,3000.0,3000.0,,,,,,,,,,,,14750.0,8075.0,12775.0,16250.0
Oregon,55000.0,60000.0,63000.0,61000.0,56000.0,52000.0,53000.0,50000.0,52000.0,55000.0,50000.0,50000.0,45000.0,48000.0,44000.0,43000.0,42000.0,42000.0,39000.0,46000.0,46000.0,50000.0,55000.0,59000.0,60000.0,60000.0,62000.0,71000.0,79600.0,84800.0,81600.0,61000.0
Other states,,,,,12000.0,9000.0,9000.0,6000.0,8000.0,7000.0,14000.0,16000.0,15000.0,18000.0,8000.0,9000.0,8000.0,15000.0,15000.0,16000.0,15000.0,16000.0,26000.0,26000.0,25000.0,30000.0,33000.0,31000.0,13110.0,13710.0,12002.0,3990.0
Pennsylvania,48000.0,45000.0,41000.0,41000.0,40000.0,30000.0,28000.0,27000.0,25000.0,23000.0,22000.0,26000.0,28000.0,25000.0,26000.0,29000.0,27000.0,30000.0,28000.0,28000.0,25000.0,23000.0,21000.0,30000.0,24000.0,16000.0,13000.0,17000.0,18700.0,16500.0,18200.0,15000.0
Rhode Island,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,15000.0,14000.0,15000.0,12000.0,11000.0,11000.0,11000.0,10000.0,9000.0,9000.0,,,,,7000.0,5000.0,4000.0,,,,,,,,,,,9000.0,14100.0,14000.0,16000.0,13750.0
South Dakota,260000.0,245000.0,235000.0,245000.0,225000.0,240000.0,245000.0,260000.0,240000.0,240000.0,240000.0,225000.0,224000.0,235000.0,235000.0,225000.0,215000.0,215000.0,220000.0,225000.0,255000.0,225000.0,270000.0,265000.0,250000.0,260000.0,265000.0,280000.0,185800.0,140400.0,113800.0,16750.0
Tennessee,35000.0,35000.0,25000.0,19000.0,14000.0,7000.0,8000.0,6000.0,5000.0,5000.0,7000.0,7000.0,8000.0,9000.0,8000.0,8000.0,6000.0,6000.0,7000.0,7000.0,7000.0,7000.0,7000.0,8000.0,7000.0,6000.0,7000.0,7000.0,8500.0,8400.0,8500.0,9000.0
Texas,120000.0,124000.0,140000.0,140000.0,140000.0,125000.0,105000.0,103000.0,84000.0,82000.0,94000.0,91000.0,108000.0,105000.0,97000.0,114000.0,140000.0,116000.0,84000.0,82000.0,105000.0,77000.0,89000.0,100000.0,78000.0,92000.0,106000.0,116000.0,164600.0,195600.0,194200.0,255000.0
Utah,35000.0,36000.0,47000.0,47000.0,45000.0,47000.0,42000.0,43000.0,32000.0,34000.0,32000.0,30000.0,26000.0,24000.0,23000.0,22000.0,25000.0,24000.0,24000.0,26000.0,28000.0,28000.0,26000.0,26000.0,23000.0,25000.0,30000.0,29000.0,23200.0,22900.0,25600.0,11000.0
Vermont,7000.0,7000.0,6000.0,6000.0,6000.0,6000.0,6000.0,5000.0,5000.0,4000.0,5000.0,6000.0,6000.0,7000.0,7000.0,7000.0,7000.0,6000.0,6000.0,6000.0,5000.0,5000.0,5000.0,4000.0,4000.0,4000.0,3000.0,3000.0,5800.0,5900.0,6700.0,5500.0
Virginia,25000.0,25000.0,23000.0,16000.0,16000.0,13000.0,10000.0,11000.0,9000.0,7000.0,8000.0,8000.0,7000.0,7000.0,9000.0,8000.0,6000.0,7000.0,8000.0,8000.0,6000.0,6000.0,6000.0,5000.0,4000.0,4000.0,5000.0,6000.0,7400.0,6500.0,8500.0,6000.0
Washington,75000.0,65000.0,70000.0,80000.0,85000.0,80000.0,60000.0,60000.0,60000.0,60000.0,60000.0,58000.0,52000.0,52000.0,48000.0,50000.0,58000.0,56000.0,51000.0,49000.0,46000.0,49000.0,62000.0,71000.0,71000.0,62000.0,69000.0,68000.0,80200.0,74800.0,73600.0,49500.0
West Virginia,21000.0,30000.0,32000.0,30000.0,26000.0,23000.0,20000.0,20000.0,13000.0,10000.0,8000.0,6000.0,6000.0,7000.0,7000.0,9000.0,8000.0,9000.0,8000.0,6000.0,6000.0,6000.0,5000.0,5000.0,4000.0,6000.0,6000.0,6000.0,5680.0,6700.0,7300.0,5850.0
Wisconsin,92000.0,102000.0,108000.0,112000.0,110000.0,105000.0,100000.0,75000.0,73000.0,69000.0,79000.0,89000.0,80000.0,84000.0,67000.0,70000.0,74000.0,68000.0,64000.0,64000.0,60000.0,58000.0,63000.0,64000.0,57000.0,60000.0,59000.0,53000.0,40300.0,44500.0,42600.0,22500.0
Wyoming,39000.0,39000.0,41000.0,40000.0,41000.0,41000.0,34000.0,46000.0,38000.0,40000.0,38000.0,46000.0,37000.0,39000.0,38000.0,38000.0,39000.0,39000.0,40000.0,39000.0,43000.0,39000.0,37000.0,34000.0,35000.0,50000.0,47000.0,38000.0,21700.0,21240.0,24700.0,7000.0
